"No.","Time","Source","Destination","Protocol","Length","Info"
"10873","180.405148","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10874","180.405577","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10875","180.408678","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10876","180.409490","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10877","180.409832","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10878","180.422219","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10879","180.439901","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10880","180.440301","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10881","180.441242","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10882","180.441242","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10883","180.441242","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10884","180.441242","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10885","180.441790","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10886","180.442129","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10887","180.442172","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10888","180.442172","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10889","180.442614","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10890","180.444628","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10891","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10892","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10893","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10894","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10895","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10896","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10897","180.446803","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10898","180.447122","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10899","180.447323","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10900","180.447498","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10901","180.447638","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10902","180.447638","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10903","180.447638","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10904","180.447675","192.168.43.100","114.125.240.13","QUIC","87","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10905","180.448047","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10906","180.448993","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10907","180.449251","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10908","180.450068","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
